player_name,platform,game_id,kills,score,ptype,trnchange,trnrating,matches
ItsWiKKiD,pc,670297682,2,685,p9,0.47599999999998555,4988.6,7
ItsWiKKiD,pc,670284447,6,166,p9,-2,4988.1,8
ItsWiKKiD,pc,670258116,1,130,p9,-3,4990.1,9
ItsWiKKiD,pc,670176862,9,605,p2,5.0699999999999825,4903.7,10
Copy - TH,pc,673374816,5,814,p9,-2,4951.9,1
Copy - TH,pc,673244786,2,511,p9,0.4780000000000018,4952.7,2
Copy - TH,pc,673153859,0,255,p2,-93.742,1497.5,3
Copy - TH,pc,673153858,6,245,p9,-2,4952.2,4
Copy - TH,pc,673086540,0,85,p9,-3,4954.2,5
Copy - TH,pc,673005206,3,292,p9,0.8739999999999963,4957.2,6
Copy - TH,pc,672989204,5,605,p9,1.5855000000000063,4956.3,7
Copy - TH,pc,671882843,1,272,p9,-3,4954.7,8
Copy - TH,pc,671608820,5,340,p9,0.8639999999999963,4957.7,9
Copy - TH,pc,671566314,1,410,p9,0.43600000000000366,4956.8,10
WillzonePH,pc,672029482,12,701,p2,1.6833600000000024,4777.2,1
WillzonePH,pc,671393684,0,29,p2,-6.25625,4766.2,2
WillzonePH,pc,671349604,4,493,p2,-5.006620125000001,4772.5,3
WillzonePH,pc,664171854,10,1090,p2,-4.910585883328119,4776.8,4
WillzonePH,pc,663863192,2,225,p2,2.2910000000000035,4773.2,5
WillzonePH,pc,660570209,23,1892,p10,1.0888627679999991,4946.6,6
WillzonePH,pc,657253007,3,825,p10,2.535999999999986,4939.1,7
WillzonePH,pc,657097045,1,112,p2,-6.1325,4770.9,8
WillzonePH,pc,656748306,0,56,p2,-5.9675,4777,9
WillzonePH,pc,654764737,22,1941,p2,1.640126305092167,4783,10
TSM_Hamlinz,pc,673600525,12,605,p2,1.984999999999991,4962.3,1
TSM_Hamlinz,pc,673526424,9,605,p2,2.090000000000009,4960.3,2
TSM_Hamlinz,pc,673451172,16,605,p2,2.2,4958.2,3
TSM_Hamlinz,pc,665087443,6,394,p2,1.596000000000013,4956,4
TSM_Hamlinz,pc,665004178,10,405,p2,1.6555000000000064,4954.4,5
TSM_Hamlinz,pc,664962560,3,259,p2,0.9660000000000036,4952.7,6
TSM_Hamlinz,pc,664932440,0,55,p2,-3,4951.7,7
TSM_Hamlinz,pc,664926859,0,17,p2,-3,4954.7,8
TSM_Hamlinz,pc,664923217,3,95,p2,-2,4957.7,9
TSM_Hamlinz,pc,664808499,6,605,p2,1.6800000000000002,4959.7,10
Woodzinh,pc,668029677,15,934,p10,1.296998999999996,4828.4,1
Woodzinh,pc,667239506,7,885,p9,0.7400000000000091,4985.9,2
Woodzinh,pc,667169608,7,785,p9,0.7800000000000182,4985.2,3
Woodzinh,pc,667105321,14,375,p9,0.31799999999999273,4984.4,4
Woodzinh,pc,667066186,27,2215,p9,0.8348124999999982,4984.1,5
Woodzinh,pc,666790376,1,575,p9,0.7720000000000073,4981.5,6
Woodzinh,pc,666786768,11,765,p9,1.0150000000000092,4980.7,7
Woodzinh,pc,666668307,17,1485,p9,1.06875,4979.7,8
Woodzinh,pc,666603098,9,885,p2,4.967899199999999,4342.6,9
Woodzinh,pc,664826815,2,98,p9,-3,4977.5,10
HighDistortion,pc,671804939,11,805,p10,2.075,4960.6,1
HighDistortion,pc,671794539,1,214,p10,-3,4958.5,2
HighDistortion,pc,671733194,4,326,p10,0.7860000000000037,4961.5,3
HighDistortion,pc,671658372,9,705,p10,2.069999999999982,4960.7,4
HighDistortion,pc,671579351,13,725,p10,2.1800000000000184,4958.6,5
HighDistortion,pc,671571805,2,174,p10,-3,4956.4,6
HighDistortion,pc,671498723,22,625,p10,2.134999999999991,4959.4,7
HighDistortion,pc,671495925,2,80,p10,-3,4957.3,8
HighDistortion,pc,671416729,14,535,p10,1.4385000000000128,4960.3,9
HighDistortion,pc,671362461,0,17,p10,-3,4958.9,10
KingRichard215,pc,671062071,3,105,p2,-2,4956.4,1
KingRichard215,pc,670973089,10,605,p2,2.1900000000000093,4958.4,2
KingRichard215,pc,670919813,14,742,p2,-2,4956.2,3
KingRichard215,pc,666948547,4,170,p2,-2,4958.5,4
KingRichard215,pc,666914982,9,259,p2,0.8060000000000036,4960.5,5
KingRichard215,pc,666904635,0,22,p2,-3,4959.7,6
KingRichard215,pc,666831792,13,405,p2,1.3544999999999936,4962.7,7
KingRichard215,pc,666776998,7,374,p2,1.4035000000000126,4961.3,8
KingRichard215,pc,666709580,11,605,p2,2.109999999999991,4959.9,9
KingRichard215,pc,666650895,9,605,p2,2.219999999999982,4957.8,10
kegrider,pc,673376507,7,508,p2,0.5045624999999972,4933.2,1
kegrider,pc,673007281,8,691,p2,0.5212799999999993,4931,2
kegrider,pc,672903390,7,500,p2,0.5469750000000022,4927.6,3
kegrider,pc,672845253,3,120,p2,0.5654999999999972,4925.2,4
kegrider,pc,672818289,8,605,p2,3.14,4924.6,5
kegrider,pc,672727127,20,1239,p2,0.593418475125004,4921.5,6
kegrider,pc,670421871,9,605,p2,4.565000000000009,4913.3,7
kegrider,pc,670421870,10,3036,p9,0.09143746560000182,4990.9,8
kegrider,pc,670421869,33,3638,p10,-2,4977.5,9
kegrider,pc,669251028,11,1285,p9,0.3850349999999753,4989.4,10
NxS Agares29,pc,668157933,10,379,p9,-2,4963.3,1
NxS Agares29,pc,667700551,11,1218,p9,-2,4964.6,2
NxS Agares29,pc,667434242,3,370,p9,0.7179999999999928,4964.8,3
NxS Agares29,pc,667417235,7,1294,p9,-2,4964.1,4
NxS Agares29,pc,667204502,7,705,p9,1.9050000000000182,4963.8,5
NxS Agares29,pc,667081736,21,1361,p9,-2,4961.9,6
NxS Agares29,pc,666854573,7,1610,p9,1.409279999999999,4966.2,7
NxS Agares29,pc,666709313,7,765,p9,1.9300000000000184,4963.3,8
NxS Agares29,pc,666660806,0,631,p9,-3,4961.4,9
NxS Agares29,pc,666560467,7,605,p9,-2,4964.4,10
Capcorn.Denz,pc,673766086,4,451,p2,-2.3876754712787154,1110.8,1
Capcorn.Denz,pc,673766085,4,1032,p9,-3,4951.1,2
Capcorn.Denz,pc,673316393,15,1924,p9,-2,4956.2,3
Capcorn.Denz,pc,672966897,4,1550,p9,1.9276800000000005,4953.7,4
Capcorn.Denz,pc,672800584,12,3990,p9,-3,4949.8,5
Capcorn.Denz,pc,672800577,3,669,p10,-100.72773871875,1236.4,6
Capcorn.Denz,pc,672020189,1,186,p9,-3,4967.2,7
Capcorn.Denz,pc,671848405,2,808,p9,-3,4970.2,8
Capcorn.Denz,pc,671662676,1,667,p9,0.7049999999999955,4972.5,9
Capcorn.Denz,pc,671578823,5,593,p9,1.0219999999999938,4971.8,10
StancodTV,pc,672763507,2,93,p10,-1.27125,4942.2,1
StancodTV,pc,672684512,15,659,p10,0.42713790000000695,4943.5,2
StancodTV,pc,672557475,0,60,p10,-1.586749999999995,4940.7,3
StancodTV,pc,672481644,10,378,p10,2.093000000000006,4942.3,4
StancodTV,pc,672430819,0,259,p10,0,4940.2,5
StancodTV,pc,672329757,8,605,p10,3.144999999999982,4940.2,6
StancodTV,pc,646568250,2,450,p10,1.6125,4937.1,7
StancodTV,pc,646558946,2,119,p10,-1.419750000000008,4935.5,8
StancodTV,pc,646492735,4,423,p10,2.2889999999999873,4936.9,9
StancodTV,pc,646455043,2,307,p10,0.6610000000000037,4934.6,10
unq Kreyzi,pc,672484358,15,805,p9,0.375,4992.9,1
unq Kreyzi,pc,672406437,23,605,p9,0.3949999999999818,4992.5,2
unq Kreyzi,pc,672326764,14,825,p9,0.41500000000000914,4992.1,3
unq Kreyzi,pc,672244229,12,605,p2,6.6949999999999825,4872.8,4
unq Kreyzi,pc,672208104,1,137,p2,-3.583250000000005,4866.1,5
unq Kreyzi,pc,671294538,12,605,p2,6.859999999999991,4869.7,6
unq Kreyzi,pc,671273497,9,424,p2,1.0364100000000007,4862.8,7
unq Kreyzi,pc,671209594,7,175,p2,1.0822500000000013,4856.8,8
unq Kreyzi,pc,669324301,13,785,p10,2.4550000000000183,4953.4,9
